,building,geometry,osm_id,area,category
443,commercial,"MultiPolygon (((909833.06690711434930563 7011486.72337915655225515, 909884.09576169401407242 7011476.53204506263136864, 909872.91928481834474951 7011420.58203866053372622, 909849.49766395543701947 7011425.25999362301081419, 909852.09140809101518244 7011438.23576402477920055, 909854.81873561523389071 7011451.91696399915963411, 909823.5268267533974722 7011458.15426241420209408, 909829.38223196915350854 7011487.46591767203062773, 909833.06690711434930563 7011486.72337915655225515)))",239222208,2316.19,commercial
311,commercial,"MultiPolygon (((908276.59778684272896498 7013508.44797456078231335, 908291.33648742386139929 7013530.97119866218417883, 908307.02140367671381682 7013520.70297730527818203, 908314.98074726830236614 7013532.86515775136649609, 908334.38373451353982091 7013520.16449951380491257, 908329.08492675179149956 7013512.06876886729151011, 908334.4393942590104416 7013508.55938359443098307, 908338.92556973802857101 7013515.41104199178516865, 908359.30816850217524916 7013502.07909421343356371, 908352.67352685076184571 7013491.9408870181068778, 908358.35082088143099099 7013488.22726123593747616, 908377.78720397385768592 7013475.26672081556171179, 908360.20985637768171728 7013448.90007040649652481, 908343.36721742060035467 7013460.11517020594328642, 908335.91994348634034395 7013464.9985712394118309, 908328.18323887651786208 7013453.18928717449307442, 908311.22928042849525809 7013464.29298458900302649, 908302.57975599402561784 7013451.09109859727323055, 908277.21004404220730066 7013467.70950998552143574, 908286.6499368614749983 7013482.13691870216280222, 908275.29534880048595369 7013489.56416632141917944, 908284.34562340204138309 7013503.37886529881507158, 908276.59778684272896498 7013508.44797456078231335)))",108566847,5203.66,commercial
512,commercial,"MultiPolygon (((909983.84915739379357547 7011452.06547104381024837, 910059.61320282774977386 7011436.95489304885268211, 910058.48887597071006894 7011375.93740819022059441, 910016.89991421042941511 7011377.66378634236752987, 910017.90178962762001902 7011403.20680140145123005, 910034.83348417724482715 7011403.15111160092055798, 910035.15631070046219975 7011416.55380186438560486, 910002.78460277779959142 7011421.90003363043069839, 910001.90517880045808852 7011413.08246579580008984, 910014.39522566762752831 7011410.76205482706427574, 910012.235627546091564 7011391.77183686476200819, 910009.57509171625133604 7011386.11005042959004641, 909972.88418755063321441 7011393.72097738832235336, 909983.84915739379357547 7011452.06547104381024837)))",409810219,4536.12,commercial
519,commercial,"MultiPolygon (((909722.14816648792475462 7012417.75393724255263805, 909724.55266748904250562 7012413.87372138630598783, 909727.99243975465651602 7012415.9902025293558836, 909735.13915106351487339 7012404.42382560390979052, 909732.38955964101478457 7012402.71579063031822443, 909734.33765072980895638 7012399.5596400024369359, 909728.10375924536492676 7012395.69799858797341585, 909725.58793875353876501 7012399.76386147551238537, 909721.44685369590297341 7012397.20181064400821924, 909715.58031653112266213 7012406.7073946800082922, 909719.84385302849113941 7012409.3437110111117363, 909716.72690728632733226 7012414.41212442703545094, 909722.14816648792475462 7012417.75393724255263805)))",512398162,254.43,commercial
555,commercial,"MultiPolygon (((909605.39628454390913248 7012067.33536310959607363, 909601.5780260096071288 7012076.71059986017644405, 909599.75238636077847332 7012081.20329148415476084, 909619.90121419413480908 7012089.39039305690675974, 909629.31884311535395682 7012066.25860395096242428, 909609.17001528199762106 7012058.07152613997459412, 909605.39628454390913248 7012067.33536310959607363)))",844439725,543.23,commercial
554,commercial,"MultiPolygon (((909601.5780260096071288 7012076.71059986017644405, 909605.39628454390913248 7012067.33536310959607363, 909580.89486462040804327 7012057.58884153887629509, 909570.51988807856105268 7012082.37287690583616495, 909583.23257392691448331 7012087.70099045429378748, 909589.83381973090581596 7012071.93943839147686958, 909601.5780260096071288 7012076.71059986017644405)))",831288892,499.39,commercial
6,commercial,"MultiPolygon (((909813.09619046607986093 7011705.36683299951255322, 909820.12045033520553261 7011695.47224248852580786, 909798.49107327405363321 7011578.68730022665113211, 909740.64946585788857192 7011588.3589813681319356, 909754.74251339223701507 7011664.34056222252547741, 909723.85135469713713974 7011696.73459106404334307, 909674.98209823877550662 7011705.06980946660041809, 909687.22724222613032907 7011769.39422687329351902, 909705.69514574867207557 7011766.44253228232264519, 909706.84173650364391506 7011775.6503378814086318, 909737.74402714800089598 7011786.00913189817219973, 909734.97217182733584195 7011771.91894764080643654, 909738.50099968537688255 7011771.26920324936509132, 909735.87385970284231007 7011753.50335570331662893, 909761.46621063607744873 7011749.54920693580061197, 909754.94288847560528666 7011715.33569177053868771, 909813.09619046607986093 7011705.36683299951255322)))",24449786,13488.63,commercial
75,industrial,"MultiPolygon (((910396.98918357503134757 7011034.43746174685657024, 910421.12324917886871845 7011064.41580797359347343, 910436.41854721389245242 7011052.09033185057342052, 910412.27334966079797596 7011022.11203198134899139, 910396.98918357503134757 7011034.43746174685657024)))",89416516,755.89,commercial
79,industrial,"MultiPolygon (((910335.34044957370497286 7011084.07349683437496424, 910396.98918357503134757 7011034.43746174685657024, 910412.27334966079797596 7011022.11203198134899139, 910418.42931750183925033 7011017.15587809961289167, 910387.31551982497330755 7010978.52768320869654417, 910371.75305501208640635 7010991.07579326350241899, 910304.22665189695544541 7011045.46354006696492434, 910335.34044957370497286 7011084.07349683437496424)))",89416522,5291.23,commercial
57,residential,"MultiPolygon (((909526.88264768745284528 7012077.26754496712237597, 909518.63387341960333288 7012097.52180838584899902, 909533.68426857504528016 7012103.66678757593035698, 909541.94417479168623686 7012083.39394368790090084, 909526.88264768745284528 7012077.26754496712237597)))",88454020,355.73,commercial
19,retail,"MultiPolygon (((909116.82617140130605549 7012446.10370562225580215, 909165.33920548902824521 7012440.05129080638289452, 909166.730699124163948 7012451.19070812966674566, 909178.80886387510690838 7012449.48266312759369612, 909234.00106741022318602 7012442.63192110136151314, 909259.03682088979985565 7012439.6799771673977375, 909257.71211894939187914 7012429.09754562564194202, 909285.46406800416298211 7012425.62576851341873407, 909282.02429573854897171 7012398.07439308054745197, 909296.6628087778808549 7012403.97825122717767954, 909327.63189111661631614 7012327.1727402089163661, 909274.79966078605502844 7012305.87823236454278231, 909273.07420867879409343 7012317.50016246270388365, 909141.99550826963968575 7012333.15080756414681673, 909112.19528058415744454 7012408.93526757787913084, 909116.82617140130605549 7012446.10370562225580215)))",28479539,21296.72,commercial
21,retail,"MultiPolygon (((909727.35791865712963045 7012846.91004365310072899, 909750.00030308437999338 7012861.00212858151644468, 909762.34563461341895163 7012868.68873086385428905, 909798.9697470844257623 7012891.47008117847144604, 909843.65339068870525807 7012819.65427684038877487, 909772.04156226152554154 7012775.09464086592197418, 909727.35791865712963045 7012846.91004365310072899)))",28932595,7134.19,commercial
520,roof,"MultiPolygon (((909722.60457640024833381 7012452.08186218794435263, 909728.62696085218340158 7012442.31630440428853035, 909731.28749668214004487 7012443.95008509792387486, 909737.76629104616586119 7012433.4604762215167284, 909739.78117382968775928 7012434.68581035360693932, 909745.39167616539634764 7012425.60720286518335342, 909747.92976055562030524 7012427.1667175218462944, 909754.01893670205026865 7012417.30836211983114481, 909749.93351138988509774 7012414.78343689348548651, 909756.22306261968333274 7012404.59091600310057402, 909753.58479068789165467 7012402.95714337565004826, 909760.00792530667968094 7012392.56041630916297436, 909756.44570160144940019 7012390.35111355688422918, 909762.20091927528847009 7012381.0126389367505908, 909753.94101305853109807 7012375.92568122316151857, 909748.56428165314719081 7012384.63292103726416826, 909750.77953952003736049 7012385.98820655513554811, 909744.211689563235268 7012396.64484318252652884, 909738.35628434747923166 7012393.04312119260430336, 909734.33765072980895638 7012399.5596400024369359, 909732.38955964101478457 7012402.71579063031822443, 909735.13915106351487339 7012404.42382560390979052, 909727.99243975465651602 7012415.9902025293558836, 909724.55266748904250562 7012413.87372138630598783, 909722.14816648792475462 7012417.75393724255263805, 909718.95329710224177688 7012422.93374987132847309, 909726.41170298540964723 7012427.53803058248013258, 909720.52290192234795541 7012437.08078215178102255, 909717.88462999067269266 7012435.44700286071747541, 909711.7509260477963835 7012445.37964348681271076, 909722.60457640024833381 7012452.08186218794435263)))",512398163,1325.99,commercial
405,roof,"MultiPolygon (((910289.13172894541639835 7011021.46234871260821819, 910301.47706047433894128 7011011.58716954290866852, 910295.79976644390262663 7011003.9394828025251627, 910348.56520507985260338 7010962.28570618387311697, 910364.1276698928559199 7010949.73764145374298096, 910371.75305501208640635 7010943.61211407091468573, 910364.59521175408735871 7010934.14539919514209032, 910274.50434785499237478 7011005.7957167774438858, 910282.28558026149403304 7011014.98408129997551441, 910243.15677924768533558 7011046.22459990996867418, 910248.22181607875972986 7011056.26688412483781576, 910250.3925461492035538 7011054.78188751358538866, 910251.98441486770752817 7011057.86325579881668091, 910260.15526549168862402 7011053.16695401072502136, 910257.02718780061695725 7011048.13653105217963457, 910289.13172894541639835 7011021.46234871260821819)))",156339358,2086.01,commercial
56,shop,"MultiPolygon (((909809.90132108028046787 7011725.89861159864813089, 909807.84191050066147 7011749.4192584166303277, 909822.09080532216466963 7011750.66305145993828773, 909818.13896339898929 7011795.92239899095147848, 909881.91389967442955822 7011801.49165557418018579, 909887.80270073749125004 7011734.04822011850774288, 909809.90132108028046787 7011725.89861159864813089)))",88453867,4704.98,commercial
