,building,geometry,osm_id,area,category
63,kindergarten,"MultiPolygon (((908721.15217332576867193 7011137.47805779986083508, 908735.70163077232427895 7011150.21204487886279821, 908745.41982231859583408 7011139.11157103814184666, 908750.13976872828789055 7011133.7098410353064537, 908756.52950749965384603 7011139.29719756357371807, 908763.42018397990614176 7011131.40807403810322285, 908757.04157715744804591 7011125.82072303630411625, 908763.17528110032435507 7011118.82261783815920353, 908747.55715654196683317 7011105.14198962040245533, 908729.80169776035472751 7011125.43090799450874329, 908730.87036487204022706 7011126.35903907101601362, 908721.15217332576867193 7011137.47805779986083508)))",89395823,933.98,educational
191,school,"MultiPolygon (((909258.31324419961310923 7011821.11403395887464285, 909258.30211225058883429 7011841.27482497319579124, 909304.84479135111905634 7011841.29338926076889038, 909304.85592330025974661 7011821.13259819895029068, 909301.3493593402672559 7011821.13259819895029068, 909301.3493593402672559 7011816.21307588834315538, 909343.53944635100197047 7011816.23164011817425489, 909343.55057829990983009 7011797.25902021676301956, 909301.36049128929153085 7011797.24045603070408106, 909285.04105393914505839 7011797.24045603070408106, 909285.02992199000436813 7011821.13259819895029068, 909258.31324419961310923 7011821.11403395887464285)))",99077632,2128.49,educational
469,university,"MultiPolygon (((908925.17853605165146291 7011229.95770939346402884, 908905.67536126461345702 7011254.94336341135203838, 908909.39343225723132491 7011281.91533489245921373, 908909.82757827138993889 7011285.5722437659278512, 908906.63270888559054583 7011285.9806296331807971, 908905.35253474139608443 7011288.09681127499789, 908905.69762516277842224 7011290.8441356522962451, 908907.47873701562639326 7011292.57049537356942892, 908910.60681470681447536 7011292.16210916824638844, 908913.200558842276223 7011313.78804376535117626, 908913.97979527793359011 7011320.48931094724684954, 908914.38054544467013329 7011323.99773285258561373, 908938.25857621990144253 7011342.61652679834514856, 908935.6314362371340394 7011346.12495844345539808, 908935.78728352428879589 7011348.14834036491811275, 908938.00254139106255025 7011349.89327563997358084, 908940.21779925783630461 7011349.74477049335837364, 908942.85607118962798268 7011346.19921098556369543, 908950.18089368380606174 7011351.91665851138532162, 908967.85842882178258151 7011365.69052620977163315, 908998.84977505856659263 7011361.92220154963433743, 908999.17260158201679587 7011364.6695513753220439, 909000.79786614759359509 7011366.11747936345636845, 909003.35821443563327193 7011365.85759483370929956, 909004.70518027432262897 7011364.00127700623124838, 909003.66990900994278491 7011354.06998396571725607, 909007.35458415513858199 7011353.66159461345523596, 909004.83876366331242025 7011329.21396086551249027, 908980.19262840179726481 7011331.9241732144728303, 908956.7264797423267737 7011313.06408449169248343, 908950.99352596665266901 7011320.73063092306256294, 908941.85419577243737876 7011313.58385011740028858, 908943.62417567626107484 7011311.30059422552585602, 908937.5906592751853168 7011262.14578044600784779, 908943.93587025033775717 7011254.03378027584403753, 908962.94923927797935903 7011229.69782930519431829, 908985.40238057088572532 7011226.95052600279450417, 908984.75672752433456481 7011221.75292775593698025, 909007.17647296993527561 7011219.00562719814479351, 909023.71854930184781551 7011232.11100190132856369, 909017.67390095174778253 7011239.87028489820659161, 909011.94094717584084719 7011235.39663037750869989, 909008.18948033615015447 7011240.20441686827689409, 909000.10768530459608883 7011233.89303752034902573, 908990.32270206382963806 7011246.44154961220920086, 908998.40449709538370371 7011252.75293890200555325, 908997.16885074763558805 7011254.3307870039716363, 909017.23975493770558387 7011269.99790746998041868, 909032.02298331493511796 7011251.04515071865171194, 909026.31229343730956316 7011246.60861573461443186, 909032.35694178740959615 7011238.84932617470622063, 909050.56881048111245036 7011252.97569390945136547, 909062.89187811187002808 7011262.53560217376798391, 909060.40945346723310649 7011265.80268025025725365, 909057.99382051709108055 7011263.96494866348803043, 909045.38132221018895507 7011280.560237105935812, 909070.99593704170547426 7011300.01426575891673565, 909083.59730339969974011 7011283.41893681511282921, 909081.41544138011522591 7011281.74826803151518106, 909083.8978660247521475 7011278.48118342086672783, 909088.49536099447868764 7011281.97102384455502033, 909104.05782580736558884 7011262.07152869272977114, 909092.54739045933820307 7011253.08707141224294901, 909090.78854250500444323 7011251.71341561526060104, 909091.91286936192773283 7011250.26550840586423874, 909091.76815402379725128 7011247.81520450115203857, 909089.73100734234321862 7011246.20023188460618258, 909087.27084659575484693 7011246.66430444177240133, 909086.15765168785583228 7011248.09364808723330498, 909084.22069254796952009 7011246.59005283378064632, 909066.18693503935355693 7011232.51938503049314022, 909045.30339856678619981 7011216.22120191901922226, 909043.35530747775919735 7011214.69904984440654516, 909044.60208577464800328 7011213.04695829004049301, 909044.02322442247532308 7011210.54097737278789282, 909042.46475155127700418 7011209.26014298386871815, 909039.81534767046105117 7011209.76133902370929718, 909038.76894445705693215 7011211.11642477009445429, 909036.88764506275765598 7011209.64996211975812912, 909019.06539458665065467 7011195.74642458651214838, 909015.30279579793568701 7011192.81350521650165319, 908986.1036933627910912 7011196.4146848488599062, 908983.42089363478589803 7011196.74881500191986561, 908983.05353931500576437 7011193.8158952621743083, 908981.21676771703641862 7011192.38656134624034166, 908979.06830154464114457 7011192.6278774430975318, 908977.47643282637000084 7011194.50271813757717609, 908977.82152324786875397 7011197.43563813529908657, 908975.27230690862052143 7011197.75120553839951754, 908947.6650731919799 7011201.16675943415611982, 908934.17315090773627162 7011218.44874206744134426, 908929.09698212752118707 7011224.92717485409229994, 908925.57928621862083673 7011222.14274750743061304, 908923.06346572667825967 7011222.29125027637928724, 908921.20443023042753339 7011224.61160637531429529, 908921.61631234618835151 7011227.13615457434207201, 908925.17853605165146291 7011229.95770939346402884)))",249816236,12346.76,educational
470,university,"MultiPolygon (((908800.90145652997307479 7011404.98887527454644442, 908792.63041836407501251 7011415.97833962924778461, 908812.37849603092763573 7011431.6086511816829443, 908833.18410886009223759 7011404.80324255954474211, 908835.47729037050157785 7011406.51106369122862816, 908837.82613162626512349 7011405.91703890729695559, 908839.22875721019227058 7011404.116401556879282, 908839.16196551569737494 7011401.72174014337360859, 908836.94670764892362058 7011399.90254048444330692, 908841.65552210947498679 7011393.88804659899324179, 908868.67276252491865307 7011358.41376294940710068, 908870.10878395626787096 7011359.58324231393635273, 908872.13479868858121336 7011359.47186331823468208, 908873.92704249056987464 7011357.29997324105352163, 908873.81572299962863326 7011355.07239429093897343, 908872.24611817940603942 7011353.71728406846523285, 908891.804952711914666 7011327.85885503888130188, 908891.25948720693122596 7011323.29233572818338871, 908890.41345907677896321 7011316.46112473402172327, 908887.78631909401156008 7011295.20644318964332342, 908890.61383416038006544 7011294.85374589916318655, 908891.90514025359880179 7011292.73756245896220207, 908891.56004983198363334 7011289.99023743346333504, 908889.77893797948490828 7011288.28244127053767443, 908886.95142291334923357 7011288.63513827603310347, 908886.47274910274427384 7011284.73690910264849663, 908883.12203242990653962 7011257.98768321704119444, 908860.2458770718658343 7011240.07447665743529797, 908858.03061920520849526 7011238.34812830667942762, 908858.92117513134144247 7011237.19722961168736219, 908858.39797352475579828 7011234.20860636606812477, 908856.72818116284906864 7011232.74213946610689163, 908853.39972838829271495 7011233.05770827271044254, 908852.64275585068389773 7011234.13435487356036901, 908829.51056566380430013 7011216.03557360079139471, 908818.30069294106215239 7011217.44634892139583826, 908794.72322479099966586 7011220.52778009325265884, 908794.2890787769574672 7011217.42778608854860067, 908792.76400175294838846 7011216.14695059228688478, 908790.54874388629104942 7011216.44395590480417013, 908789.3798892330378294 7011218.07748533133417368, 908789.81403524696361274 7011221.17747959028929472, 908762.21793347934726626 7011224.27747505344450474, 908749.03770576941315085 7011241.26250154431909323, 908741.50137624284252524 7011250.89664741326123476, 908737.54953431966714561 7011247.83376740664243698, 908735.6459710270864889 7011248.00083355884999037, 908733.84259527618996799 7011250.17269385233521461, 908733.92051891982555389 7011252.21461432427167892, 908738.02820813003927469 7011255.35174771025776863, 908732.21733071049675345 7011262.77692039497196674, 908713.40433676657266915 7011286.87165341340005398, 908711.22247474698815495 7011289.65610337536782026, 908707.03686189302243292 7011295.00225002225488424, 908703.2853950533317402 7011291.93935306556522846, 908701.19258862663991749 7011292.14354615937918425, 908700.60259532544296235 7011292.9046295527368784, 908699.5339282137574628 7011294.20404039788991213, 908700.13505346397869289 7011296.72861064411699772, 908723.84610500291455537 7011315.66291296388953924, 908734.42145662824623287 7011323.70072352793067694, 908790.19252151565160602 7011251.4535348154604435, 908822.73120867449324578 7011247.42538349330425262, 908823.00950740172993392 7011249.65293236263096333, 908839.952333900379017 7011262.86973510030657053, 908855.60385430592577904 7011275.08415936026722193, 908853.54444372619036585 7011277.72010140027850866, 908857.84137607074808329 7011315.25452557671815157, 908852.21974178566597402 7011322.86538486927747726, 908840.36421601625625044 7011313.71379153151065111, 908824.67929976352024823 7011334.0589301660656929, 908833.33995614713057876 7011340.74165126215666533, 908811.93321806751191616 7011368.53069326560944319, 908805.08706938393879682 7011363.31443951558321714, 908793.1313560726121068 7011354.40412072837352753, 908777.41304397268686444 7011374.63798402156680822, 908789.36875728401355445 7011383.52976220846176147, 908807.24666750512551516 7011396.83960321545600891, 908800.90145652997307479 7011404.98887527454644442)))",249816242,14122.05,educational
514,university,"MultiPolygon (((908572.39593777875415981 7011502.29813895281404257, 908562.72227402881253511 7011514.04884199053049088, 908558.97080718912184238 7011518.35558109544217587, 908558.62571676750667393 7011518.93105071783065796, 908558.50326532765757293 7011519.69215577282011509, 908558.75930015638004988 7011520.39757027383893728, 908559.23797396698500961 7011521.0101671302691102, 908570.62595787504687905 7011530.51470620837062597, 908580.42207306483760476 7011538.51560628414154053, 908581.10112195881083608 7011538.75693286117166281, 908581.80243475059978664 7011538.77549644373357296, 908582.48148364457301795 7011538.58986061345785856, 908583.0380810983479023 7011538.1628982201218605, 908586.90086742909625173 7011533.28067771438509226, 908592.36665442690718919 7011526.00376144330948591, 908622.92385464976541698 7011485.36824654974043369, 908623.04630608973093331 7011485.20117542054504156, 908629.89245477330405265 7011476.10508599504828453, 908639.41027123620733619 7011463.44483186211436987, 908643.3955090066883713 7011458.13569902069866657, 908643.72946747916284949 7011457.46741681452840567, 908643.72946747916284949 7011456.91051501873880625, 908643.4956965483725071 7011456.39074004627764225, 908643.11721027968451381 7011455.98234544694423676, 908626.40815471147652715 7011442.13406827300786972, 908625.77363361406605691 7011441.83705455251038074, 908625.10571666923351586 7011441.76280112378299236, 908624.54911921534221619 7011441.92987133748829365, 908624.03704955754801631 7011442.35682857409119606, 908619.87370060198009014 7011447.42462708801031113, 908615.96638647513464093 7011452.67806264944374561, 908620.94236771354917437 7011456.74344449024647474, 908625.37288344721309841 7011451.58282314706593752, 908625.70684191968757659 7011451.2115555526688695, 908626.15211988263763487 7011451.06304852291941643, 908626.56400199874769896 7011451.15586541593074799, 908626.96475216548424214 7011451.45287949126213789, 908634.07806762726977468 7011457.18896591383963823, 908634.31183855782728642 7011457.44885342195630074, 908634.43428999779280275 7011457.74586772453039885, 908634.41202609951142222 7011458.09857223089784384, 908634.26731076161377132 7011458.45127675030380487, 908623.70309108530636877 7011471.37141090538352728, 908623.68082718702498823 7011471.40853775851428509, 908616.53411587816663086 7011480.15191633347421885, 908616.44506028550677001 7011480.26329701766371727, 908584.45183863176498562 7011519.41370269656181335, 908583.95090092287864536 7011519.80353700742125511, 908583.23845618194900453 7011519.87779116258025169, 908577.0379605449270457 7011514.73569246660917997, 908576.79305766487959772 7011514.1416596220806241, 908576.94890495203435421 7011513.6033173892647028, 908580.73376763914711773 7011509.11094571463763714, 908572.39593777875415981 7011502.29813895281404257)))",438516779,1495.52,educational
513,university,"MultiPolygon (((908615.96638647513464093 7011452.67806264944374561, 908610.32248829200398177 7011448.09290845226496458, 908605.60254188231192529 7011444.25029138009995222, 908597.94376091565936804 7011437.6788635766133666, 908578.29587079084012657 7011420.86048828065395355, 908575.79118224803823978 7011423.86774483602494001, 908565.93940731266047806 7011435.72971230372786522, 908555.54216687264852226 7011448.2414154289290309, 908547.02622582693584263 7011458.50696693733334541, 908537.16331894253380597 7011470.38754938077181578, 908536.85162436845712364 7011471.09295951947569847, 908536.77370072470512241 7011472.05825770925730467, 908536.89615216467063874 7011472.78223142027854919, 908537.47501351695973426 7011473.78465667739510536, 908568.57767924456857145 7011499.12378138490021229, 908572.39593777875415981 7011502.29813895281404257, 908580.73376763914711773 7011509.11094571463763714, 908586.60030480392742902 7011513.90033379103988409, 908626.70871733664534986 7011464.78139733150601387, 908627.09833555447403342 7011464.29874866548925638, 908627.30984258698299527 7011463.64902935177087784, 908627.29871063795872033 7011462.96218327712267637, 908627.12059945263899863 7011462.21964704897254705, 908626.76437708211597055 7011461.58849130664020777, 908626.26343937357887626 7011461.0501526240259409, 908620.94236771354917437 7011456.74344449024647474, 908615.96638647513464093 7011452.67806264944374561)))",438497075,4336.99,educational
471,university,"MultiPolygon (((909154.73045801650732756 7011336.91764905676245689, 909196.68677409633528441 7011369.62592135369777679, 909201.77407482580747455 7011363.12880777567625046, 909204.43461065564770252 7011365.20788354240357876, 909215.82259456370957196 7011350.65436454769223928, 909193.52530055795796216 7011333.20502731576561928, 909195.46225969772785902 7011330.49481453187763691, 909195.21735681791324168 7011328.04448596201837063, 909193.59209225233644247 7011326.78219577856361866, 909191.209855149500072 7011327.19058375805616379, 909188.99459728260990232 7011330.1235525831580162, 909146.31470451247878373 7011296.72861064411699772, 909148.69694161543156952 7011293.59146097674965858, 909148.29619144857861102 7011290.6956316065043211, 909146.72658662847243249 7011289.48903634492307901, 909144.05491884949151427 7011289.99023743346333504, 909141.38325107051059604 7011293.46151989139616489, 909139.14572930545546114 7011291.71659697033464909, 909128.44792624015826732 7011283.34468486253172159, 909112.47357931139413267 7011303.76399811822921038, 909106.12836833600886166 7011311.87604889832437038, 909101.9093596349703148 7011308.57182584796100855, 909090.79967445391230285 7011322.77256947010755539, 909105.83893765998072922 7011334.54157094471156597, 909116.94862284127157182 7011343.2291099913418293, 909120.39952705579344183 7011338.8110868139192462, 909134.40351899759843946 7011320.91626167856156826, 909154.73045801650732756 7011336.91764905676245689)))",249819264,3830.77,educational
472,university,"MultiPolygon (((908944.24756482453085482 7011173.43398914113640785, 908944.57039134786464274 7011176.10702304262667894, 908944.74850253295153379 7011177.55491678044199944, 908944.93774566752836108 7011179.13274999149143696, 908972.54497938405256718 7011175.71720554307103157, 908975.11645962146576494 7011175.40163901261985302, 908975.45041809394024312 7011178.09323631133884192, 908977.16473825194407254 7011179.39262843877077103, 908979.44678781344555318 7011179.13274999149143696, 908981.02752458269242197 7011177.40641484688967466, 908980.70469805924221873 7011174.71481777355074883, 908983.53221312549430877 7011174.36212581396102905, 908999.99636581377126276 7011172.32022528629750013, 909011.65151649981271476 7011170.8908952260389924, 909027.88189825741574168 7011148.46715331729501486, 909029.89678104082122445 7011145.68275268003344536, 909031.46638586092740297 7011146.68513679876923561, 909033.49240059358999133 7011146.44382209423929453, 909035.03974151541478932 7011144.45761671289801598, 909034.81710253388155252 7011142.36003586277365685, 909033.35881720460020006 7011141.24627634603530169, 909034.73917889036238194 7011139.68701328337192535, 909039.51478504540864378 7011133.35715088527649641, 909054.58744409889914095 7011114.05202975310385227, 909034.53880380699411035 7011098.40377837978303432, 909024.54231353383511305 7011111.19339079596102238, 909019.46614475373644382 7011117.70886161178350449, 909017.88540798425674438 7011119.75074814725667238, 909011.0726551478728652 7011128.47517833765596151, 909005.41762501548510045 7011124.05727419722825289, 908995.78848906187340617 7011136.36429896578192711, 908961.47982199920807034 7011140.57802071049809456, 908962.67094055074267089 7011150.30485826823860407, 908954.50008992664515972 7011151.19586688093841076, 908951.34974833717569709 7011151.69705927465111017, 908941.70948043453972787 7011152.8850709879770875, 908944.24756482453085482 7011173.43398914113640785)))",249858795,3829.68,educational
473,university,"MultiPolygon (((908711.22247474698815495 7011289.65610337536782026, 908713.40433676657266915 7011286.87165341340005398, 908697.94205949536990374 7011274.34164063632488251, 908716.46562276326585561 7011250.63676664046943188, 908732.21733071049675345 7011262.77692039497196674, 908738.02820813003927469 7011255.35174771025776863, 908733.92051891982555389 7011252.21461432427167892, 908733.84259527618996799 7011250.17269385233521461, 908735.6459710270864889 7011248.00083355884999037, 908737.54953431966714561 7011247.83376740664243698, 908741.50137624284252524 7011250.89664741326123476, 908749.03770576941315085 7011241.26250154431909323, 908733.78693553060293198 7011229.10381769761443138, 908753.2121866742381826 7011203.32004416454583406, 908785.67295018956065178 7011199.4404195100069046, 908788.68970839004032314 7011199.05060086864978075, 908788.99027101509273052 7011201.63082936964929104, 908790.57100778457242996 7011202.93022533319890499, 908793.10909217467997223 7011202.61465772520750761, 908794.41153021692298353 7011200.94400587398558855, 908794.13323148991912603 7011198.34521480742841959, 908797.13885774125810713 7011197.97395900823175907, 908815.60676126379985362 7011195.50510839652270079, 908827.91869694553315639 7011194.00152305793017149, 908847.52205927425529808 7011168.94180919509381056, 908848.70204587664920837 7011169.83281989302486181, 908851.1844705215189606 7011169.46156542655080557, 908852.64275585068389773 7011167.58673061709851027, 908852.49804051278624684 7011164.98795042652636766, 908851.30692196113523096 7011164.11550298053771257, 908853.83387440221849829 7011160.88559199683368206, 908856.32743099611252546 7011157.6928077070042491, 908867.70428295515011996 7011143.15823028143495321, 908866.9695743159390986 7011137.18105543125420809, 908863.41848255961667746 7011108.44612834230065346, 908865.61147652822546661 7011108.14912705402821302, 908866.75806728331372142 7011106.49705758225172758, 908866.46863660728558898 7011104.43661186937242746, 908864.91016373608727008 7011103.17435709852725267, 908862.80622536037117243 7011103.47135820146650076, 908858.95457097864709795 7011072.30486519541591406, 908850.22712290054187179 7011065.80799397639930248, 908835.76672104652971029 7011054.1507640341296792, 908837.31406196835450828 7011052.14601920358836651, 908837.08029103779699653 7011050.17839976493269205, 908834.83163732383400202 7011048.4335301024839282, 908832.89467818394768983 7011048.69340428244322538, 908831.18035802582744509 7011050.88377271313220263, 908805.32084031461272389 7011030.89204249810427427, 908790.66006337699946016 7011049.8628381984308362, 908804.00727032334543765 7011060.46200105547904968, 908796.80489926890004426 7011069.40911622624844313, 908826.99474517197813839 7011093.80026543699204922, 908833.17297691106796265 7011140.50377008970826864, 908835.15446384728420526 7011142.08159597031772137, 908833.36222004541195929 7011144.3833660501986742, 908812.85716984129976481 7011170.63101706188172102, 908755.37178479554131627 7011177.61060500703752041, 908753.93576336442492902 7011165.37776740174740553, 908726.2951338003622368 7011168.75618198234587908, 908709.71966162137687206 7011190.04765185713768005, 908719.33766562561504543 7011198.01108458638191223, 908718.23560266697313637 7011199.4218567181378603, 908716.04260869836434722 7011197.65839159581810236, 908714.13904540578369051 7011197.82545669842511415, 908712.3356696548871696 7011199.9973033182322979, 908712.40246134938206524 7011202.03921093512326479, 908714.70677480881568044 7011203.91405384428799152, 908713.63810769724659622 7011205.28770140837877989, 908704.120291234459728 7011197.17575910594314337, 908656.31970188778359443 7011258.26612716447561979, 908665.94883784127887338 7011266.452383435331285, 908660.91719685751013458 7011272.39252930600196123, 908694.48002333159092814 7011299.03042538557201624, 908699.62298380618449301 7011292.25492421071976423, 908700.60259532544296235 7011292.9046295527368784, 908701.19258862663991749 7011292.14354615937918425, 908703.2853950533317402 7011291.93935306556522846, 908707.03686189302243292 7011295.00225002225488424, 908711.22247474698815495 7011289.65610337536782026)))",249860292,13353.96,educational
419,university,"MultiPolygon (((908921.96140276780351996 7011479.42794194910675287, 908929.82055881770793349 7011485.64669843576848507, 908942.87833508790936321 7011469.18092691618949175, 908935.01917903765570372 7011462.94361987058073282, 908921.96140276780351996 7011479.42794194910675287)))",186252887,210.8,educational
