,highway,osm_id,length,area,geometry
36,living_street,23537813,725.49,,"MultiLineString ((908380.67037878558039665 7012484.68331666011363268, 908471.85217369417659938 7012486.29854025691747665, 908517.94957483175676316 7012491.38556842040270567, 908558.36968193866778165 7012495.84136218018829823, 908615.52110851195175201 7012524.97117527574300766, 908707.68251493980642408 7012567.76564446557313204, 908821.49556232674513012 7012620.6045989403501153, 908845.32906530576292425 7012628.92221750319004059, 909006.84251449769362807 7012675.4119239766150713, 909040.00459080503787845 7012678.23399156704545021, 909067.30012994748540223 7012667.27991900965571404))"
38,living_street,23537815,408.14,,"MultiLineString ((908821.49556232674513012 7012620.6045989403501153, 908783.44656037376262248 7012698.50834863074123859, 908754.05821480404119939 7012755.69271055608987808, 908711.90152364084497094 7012837.68243368901312351, 908708.75118205137550831 7012843.80941698141396046, 908637.45104819838888943 7012900.62348639499396086, 908581.71337915805634111 7012909.8697360148653388, 908575.06760555773507804 7012901.86745911464095116))"
423,living_street,637159711,60.65,,"MultiLineString ((909943.98564774077385664 7011225.96669464930891991, 909932.53087213821709156 7011193.33326299861073494, 909923.9036116017960012 7011168.73761925660073757))"
22,living_street,15802168,335.58,,"MultiLineString ((909650.10219204670283943 7011138.07206257805228233, 909755.19892330456059426 7011115.55560000985860825, 909772.89872234058566391 7011111.36045408062636852, 909825.11869547190144658 7011098.77502954006195068, 909833.62350456835702062 7011132.11345417145639658, 909853.18233910063281655 7011190.04765185713768005, 909865.1269204628188163 7011221.69723922293633223, 909876.24773759301751852 7011246.08885447401553392))"
37,living_street,23537814,168.08,,"MultiLineString ((908615.52110851195175201 7012524.97117527574300766, 908551.82409588014706969 7012666.22164499945938587, 908541.32666789821814746 7012674.1122879208996892))"
418,motorway,478392387,40.56,,"MultiLineString ((909354.14819382352288812 7012199.22089537512511015, 909394.12302296725101769 7012192.37036846298724413))"
319,motorway,233727750,389.34,,"MultiLineString ((908143.22590492339804769 7012379.36030559800565243, 908528.44700281333643943 7012322.90269483998417854))"
417,motorway,478392384,79.28,,"MultiLineString ((910148.89143444388173521 7011955.52027072571218014, 910222.72965268709231168 7011926.65244172420352697))"
27,motorway,19207262,173.19,,"MultiLineString ((909384.46049116645008326 7012214.83417789358645678, 909213.51828110439237207 7012242.66339820623397827))"
26,motorway,19207260,71.25,,"MultiLineString ((909454.3468674864852801 7012200.96601699385792017, 909384.46049116645008326 7012214.83417789358645678))"
25,motorway,19207257,69.9,,"MultiLineString ((909394.12302296725101769 7012192.37036846298724413, 909462.75148904148954898 7012179.07776394486427307))"
416,motorway,476972705,117.5,,"MultiLineString ((909213.51828110439237207 7012242.66339820623397827, 909097.2228090725839138 7012259.42781197838485241))"
413,motorway,476940331,36.16,,"MultiLineString ((909489.73533360986039042 7012193.55853531323373318, 909454.3468674864852801 7012200.96601699385792017))"
171,motorway,32515545,242.12,,"MultiLineString ((907903.83333997230511159 7012415.58175875619053841, 908143.22590492339804769 7012379.36030559800565243))"
402,motorway,344772516,352.48,,"MultiLineString ((910260.56714760779868811 7011911.91225295979529619, 910589.31586781865917146 7011784.76533333864063025))"
172,motorway,33121153,44.07,,"MultiLineString ((909462.75148904148954898 7012179.07776394486427307, 909505.8321319785900414 7012169.79523203894495964))"
362,motorway,327431016,272.01,,"MultiLineString ((910844.11505029525142163 7011710.36054282076656818, 910589.90586111973971128 7011807.15373709332197905))"
