,building,geometry,osm_id,area,category
127,apartments,"MultiPolygon (((909661.89092612150125206 7011159.84608069062232971, 909638.80326373095158488 7011165.08076398819684982, 909648.08730926329735667 7011206.12302774470299482, 909671.18610360287129879 7011200.88831748720258474, 909661.89092612150125206 7011159.84608069062232971)))",98639034,996.43,residential
44,apartments,"MultiPolygon (((909147.6060106058139354 7011688.9934272114187479, 909158.78248748125042766 7011675.29325638059526682, 909150.73408829688560218 7011668.72163807973265648, 909139.15686125447973609 7011659.27262578159570694, 909127.98038437881041318 7011672.99133297242224216, 909147.6060106058139354 7011688.9934272114187479)))",88453034,448.02,residential
523,apartments,"MultiPolygon (((909854.9745829023886472 7011230.94154124055057764, 909851.01160903018899262 7011216.03557360079139471, 909840.03550723800435662 7011218.94993868283927441, 909839.06702766800299287 7011215.33018603548407555, 909789.17363189463503659 7011228.60262044332921505, 909789.63004180684220046 7011230.34752954728901386, 909768.44594270898960531 7011235.99064245354384184, 909772.14174980320967734 7011249.85712436866015196, 909772.64268751174677163 7011251.7505414430052042, 909793.82678660983219743 7011246.10741737391799688, 909793.3481127992272377 7011244.30681612901389599, 909843.24150857294443995 7011231.03435557521879673, 909843.9984811102040112 7011233.85591177456080914, 909854.9745829023886472 7011230.94154124055057764)))",619406098,1371.78,residential
524,apartments,"MultiPolygon (((909713.20921137719415128 7011268.84700420871376991, 909723.07211826147977263 7011266.21106510516256094, 909722.33740962226875126 7011263.44518627598881721, 909772.14174980320967734 7011249.85712436866015196, 909768.44594270898960531 7011235.99064245354384184, 909768.03406059287954122 7011234.44992372859269381, 909718.15179676841944456 7011247.72238997183740139, 909719.3206514217890799 7011252.12179974280297756, 909709.45774453761987388 7011254.73917126562446356, 909713.20921137719415128 7011268.84700420871376991)))",619406102,980.45,residential
45,apartments,"MultiPolygon (((909308.50720259826630354 7011525.7624352527782321, 909332.86390718386974186 7011523.83182598743587732, 909331.79524007241707295 7011503.91316345985978842, 909297.68694809312000871 7011506.40067311935126781, 909300.57012290484271944 7011516.4806642197072506, 909308.50720259826630354 7011525.7624352527782321)))",88453035,613.89,residential
46,apartments,"MultiPolygon (((909251.46709551580715925 7011557.84031918086111546, 909264.56939958233851939 7011541.48578004725277424, 909245.33339157304726541 7011526.07801565621048212, 909232.23108750686515123 7011542.41395957581698895, 909244.34264810511376709 7011552.12272393237799406, 909251.46709551580715925 7011557.84031918086111546)))",88453036,516.38,residential
47,apartments,"MultiPolygon (((909076.68436302128247917 7011556.76362885162234306, 909071.57479839387815446 7011563.68786401394754648, 909068.17955392482690513 7011561.01470012962818146, 909059.65248092997353524 7011570.51928690727800131, 909063.45960751513484865 7011574.10207354091107845, 909055.35554858529940248 7011583.79231280647218227, 909051.99369996320456266 7011581.2676516305655241, 909040.77269529132172465 7011593.16698077507317066, 909044.61321772367227823 7011596.63839527871459723, 909040.11591029574628919 7011603.6369200237095356, 909058.89550839248113334 7011621.38386973459273577, 909060.37605762004386634 7011622.77615302428603172, 909091.05570928275119513 7011578.79868228640407324, 909094.59566909004934132 7011573.73080023936927319, 909076.68436302128247917 7011556.76362885162234306)))",88453038,1700.36,residential
48,apartments,"MultiPolygon (((909198.35656645847484469 7011529.23382039926946163, 909179.99998242652509362 7011536.06521375942975283, 909186.74594356864690781 7011554.16472176276147366, 909197.97808018978685141 7011549.98790857568383217, 909205.10252760036382824 7011547.33331288769841194, 909198.35656645847484469 7011529.23382039926946163)))",88453039,378.36,residential
49,apartments,"MultiPolygon (((909163.48016999289393425 7011582.80843739863485098, 909147.31657992955297232 7011569.86955893505364656, 909131.99901799648068845 7011589.00871084816753864, 909148.1514761105645448 7011601.94762038253247738, 909157.53570918447803706 7011590.23391515761613846, 909163.48016999289393425 7011582.80843739863485098)))",88453040,507.54,residential
50,apartments,"MultiPolygon (((909384.98369277326855808 7011517.37171376962214708, 909403.34027680521830916 7011532.0554821603000164, 909416.0306987555231899 7011517.59447616711258888, 909391.39569544291589409 7011497.9728450383991003, 909384.01521320350002497 7011507.57017419300973415, 909384.98369277326855808 7011517.37171376962214708)))",88453041,568.57,residential
